,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
242,11,10,1,10,1,2,16,1,0,0,0,16,2,1,57,1,1,38,1,1,2,1
243,10,6,1,17,1,1,6,0,0,0,0,16,1,1,55,1,1,33,1,2,2,1
244,8,11,1,9,1,2,6,0,0,0,0,16,0,1,61,2,2,67,2,2,2,2
245,3,2,2,16,1,1,6,1,0,0,0,0,0,1,55,1,1,20,1,2,2,1
246,3,4,0,11,1,1,6,1,0,0,0,0,0,1,53,1,1,26,1,1,2,1
247,13,10,3,14,1,1,6,1,0,0,0,0,0,1,63,2,2,70,3,2,2,2
248,3,4,3,21,1,2,6,1,0,0,0,0,0,1,43,2,2,16,3,2,2,2
249,10,7,2,14,1,1,6,0,0,0,0,16,1,1,50,4,1,07,6,1,2,2
250,9,9,3,17,1,0,5,0,0,0,0,0,25,0,0,1,2,20,13,2,1,3
251,2,0,1,13,1,0,1,1,1,2,0,0,0,1,51,1,2,25,1,1,2,1
252,1,6,2,17,1,1,6,1,0,0,0,2,1,11,54,1,2,14,10,2,1,4
253,1,6,0,22,1,1,15,1,0,0,0,16,1,1,54,1,1,16,3,2,2,2
254,4,1,3,17,1,2,16,1,0,0,0,0,1,1,46,1,1,39,1,2,2,1
255,5,0,2,16,1,1,11,0,1,0,0,0,0,1,47,1,1,55,1,1,2,1
256,13,6,1,8,1,1,6,0,0,0,0,7,1,1,65,1,1,38,1,1,2,1
257,4,2,4,7,1,2,6,0,0,0,0,16,2,8,40,2,1,18,8,1,6,2
258,8,2,3,21,1,0,0,1,0,1,0,16,0,1,56,1,2,40,1,2,5,1
259,2,5,5,1,1,1,16,1,0,0,0,0,1,1,43,3,2,16,4,2,1,2
260,6,8,5,13,1,1,6,1,2,0,0,16,1,1,47,1,2,17,1,1,2,1
261,3,4,2,17,1,2,6,0,0,0,0,16,0,1,48,1,1,66,1,2,2,1
262,8,6,6,13,1,2,6,1,0,0,2,16,0,1,44,1,1,27,1,1,2,1
263,7,6,1,10,1,1,15,1,0,0,0,0,0,1,60,1,2,74,1,1,2,1
264,0,0,5,16,1,0,18,1,0,0,0,16,0,1,38,2,2,17,2,2,2,2
265,13,11,6,16,1,0,3,0,3,9,4,16,0,1,53,1,1,18,1,1,2,1
266,1,5,3,18,1,2,6,2,2,1,0,16,1,1,43,1,2,21,1,2,2,1
267,1,11,0,23,1,1,7,0,3,2,0,16,1,1,55,3,1,02,6,1,2,2
268,8,0,3,8,1,2,6,0,3,2,0,16,1,1,55,1,2,20,1,1,2,1
269,0,6,2,15,1,2,13,1,0,0,0,2,2,1,41,1,2,51,1,1,2,1
270,3,10,4,16,1,2,11,4,3,4,1,16,1,1,48,1,1,52,1,2,2,1
271,10,6,5,21,1,2,11,0,1,0,1,16,1,1,57,1,1,52,1,2,2,1
272,0,0,4,8,1,1,11,0,2,1,0,16,1,5,49,1,1,56,1,2,2,1
273,13,7,1,11,1,2,6,0,0,0,0,16,2,8,34,1,1,52,1,1,2,1
274,6,7,0,16,1,1,7,0,0,0,0,16,0,1,54,1,1,18,1,1,0,0
275,4,8,5,13,1,1,13,1,0,0,0,0,1,5,56,1,1,43,1,2,2,1
276,3,11,6,13,1,1,6,1,0,0,0,3,0,1,50,1,1,45,1,2,2,1
277,11,2,6,8,0,1,6,0,0,0,0,16,1,11,54,1,1,48,10,3,1,4
278,4,6,4,13,1,1,6,1,0,0,0,0,1,1,44,1,2,52,1,1,2,1
279,15,11,4,15,1,1,16,1,0,0,0,16,0,1,56,1,1,76,1,1,2,1
280,3,3,4,18,1,1,16,1,2,1,0,0,1,1,54,1,1,27,1,2,2,1
281,2,5,2,16,1,1,16,1,0,0,0,2,1,11,54,1,1,18,1,2,3,4
